Roll,Name,Description
01,Stride Potion,You gain a +1 bonus to your next Agility Roll.
02,Bolster Potion,You gain a +1 bonus to your next Strength Roll.
16,Vial of Darksmoke,"When an adversary attacks you, use this vial and roll a number of d6s equal to your Agility. Add the highest result to your Evasion against the attack."
03,Control Potion,You gain a +1 bonus to your next Finesse Roll.
17,Jumping Root,Eat this root to leap up to Far range once without needing to roll.
18,Snap Powder,Mark a Stress and clear a HP.
04,Attune Potion,You gain a +1 bonus to your next Instinct Roll.
19,Health Potion,Clear 1d4+1 HP.
05,Charm Potion,You gain a +1 bonus to your next Presence Roll.
20,Stamina Potion,Clear 1d4+1 Stress.
06,Enlighten Potion,You gain a +1 bonus to your next Knowledge Roll.
21,Armor Stitcher,You can use this stitcher to spend any number of Hope and clear that many Armor Slots.
07,Minor Health Potion,Clear 1d4 HP.
22,Gill Salve,You can apply this salve to your neck to breathe underwater for a number of minutes equal to your level.
08,Minor Stamina Potion,Clear 1d4 Stress.
09,Grindletooth Venom,You can apply this venom to a weapon that deals physical damage to add a d6 to your next damage roll with that weapon.
23,Replication Parchment,"By touching this piece of parchment to another, you can perfectly copy the second parchment’s contents. Once used, this parchment becomes mundane paper."
10,Varik Leaves,You can eat these paired leaves to immediately gain 2 Hope.
24,Improved Arcane Shard,You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 2d20 magic damage.
11,Vial of Moondrip,"When you drink the contents of this vial, you can see in total darkness until your next rest."
25,Major Stride Potion,You gain a +1 bonus to your Agility until your next rest.
26,Major Bolster Potion,You gain a +1 bonus to your Strength until your next rest.
12,Unstable Arcane Shard,You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 1d20 magic damage.
27,Major Control Potion,You gain a +1 bonus to your Finesse until your next rest.
13,Potion of Stability,You can drink this potion to choose one additional downtime move.
28,Major Attune Potion,You gain a +1 bonus to your Instinct until your next rest.
14,Improved Grindletooth Venom,You can apply this venom to a weapon that deals physical damage to add a d8 to your next damage roll with that weapon.
29,Major Charm Potion,You gain a +1 bonus to your Presence until your next rest.
15,Morphing Clay,"You can spend a Hope to use this clay, altering your face enough to make you unrecognizable until your next rest."
30,Major Enlighten Potion,You gain a +1 bonus to your Knowledge until your next rest.
31,Blood of the Yorgi,You can drink this blood to disappear from where you are and immediately reappear at a point you can see within Very Far range.
47,Jar of Lost Voices,You can open this jar to release a deafening echo of voices for a number of minutes equal to your Instinct. Creatures within Far range unprepared for the sound take 6d8 magic damage.
32,Homet’s Secret Potion,"After drinking this potion, the next successful attack you make critically succeeds."
33,Redthorn Saliva,You can apply this saliva to a weapon that deals physical damage to add a d12 to your next damage roll with that weapon.
48,Dragonbloom Tea,You can drink this tea to unleash a fiery breath attack. Make an Instinct Roll against all adversaries in front of you within Close range. Targets you succeed against take d20 physical damage using your Proficiency.
34,Channelstone,"You can use this stone to take a spell or grimoire from your vault, use it once, and return it to your vault."
49,Bridge Seed,"Thick vines grow from your location to a point of your choice within Far range, allowing you to climb up or across them. The vines dissipate on your next short rest."
35,Mythic Dust,You can apply this dust to a weapon that deals magic damage to add a d12 to your next damage roll with that weapon.
50,Sleeping Sap,You can drink this potion to fall asleep for a full night’s rest. You clear all Stress upon waking.
36,Acidpaste,This paste eats away walls and other surfaces in bright flashes.
51,Feast of Xuria,You can eat this meal to clear all HP and Stress and gain 1d4 Hope.
52,Bonding Honey,This honey can be used to glue two objects together permanently.
37,Hopehold Flare,"When you use this flare, allies within Close range roll a d6 when they spend a Hope. On a result of 6, they gain the effect of that Hope without spending it. The flare lasts until the end of the scene."
53,Shrinking Potion,"You can drink this potion to halve your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Agility and a −1 penalty to your Proficiency."
38,Major Arcane Shard,You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 4d20 magic damage.
39,Featherbone,You can use this bone to control your falling speed for a number of minutes equal to your level.
54,Growing Potion,"You can drink this potion to double your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Strength and a +1 bonus to your Proficiency."
40,Circle of the Void,"Mark a Stress to create a void that extends up to Far range. No magic can be cast inside the void, and creatures within the void are immune to magic damage."
55,Knowledge Stone,"If you die while holding this stone, an ally can take a card from your loadout to place in their loadout or vault. After they take this knowledge, the stone crumbles."
56,Sweet Moss,You can consume this moss during a rest to clear 1d10 HP or 1d10 Stress.
41,Sun Tree Sap,"Consume this sap to roll a d6. On a result of 5–6, clear 2 HP. On a result of 2–4, clear 3 Stress. On a result of 1, see through the veil of death and return changed, gaining one scar."
42,Dripfang Poison,A creature who consumes this poison takes 8d10 direct magic damage.
57,Blinding Orb,You can activate this orb to create a flash of bright light. All targets within Close range become Vulnerable until they mark HP.
43,Major Health Potion,Clear 1d4+2 HP.
44,Major Stamina Potion,Clear 1d4+2 Stress.
58,Death Tea,"After you drink this tea, you instantly kill your target when you critically succeed on an attack. If you don’t critically succeed on an attack before your next long rest, you die."
45,Ogre Musk,You can use this musk to prevent anyone from tracking you by mundane or magical means until your next rest.
59,Mirror of Marigold,"When you take damage, you can spend a Hope to negate that damage, after which the mirror shatters."
46,Wingsprout,You gain magic wings that allow you to fly for a number of minutes equal to your level.
60,Stardrop,You can use this stardrop to summon a hailstorm of comets that deals 8d20 physical damage to all targets within Very Far range.
01,Warding Candle,You can light this candle to fill an area within Close range with a halo of light. A creature outside the halo can’t enter it if they have ill intent toward a creature within it. The candle burns for an hour.
15,Red Ooze Oil,"You can coat your weapon in this oil. The next successful attack you make with this weapon deals an extra 1d8 magic damage and temporarily Ignites the target. While Ignited, the target takes 1d4 magic damage when they take the spotlight."
02,Iridian Dust,This multicolored powder sticks to everything and prevents creatures covered in it from becoming Hidden.
03,Verglasian Seed,You can use this ice shard to instantly freeze an area of water up to Close range.
16,Instant Camp,You can unfold this small mechanical box into a camping tent large enough to safely house six people. The tent collapses at the end of your next long rest.
17,Bundle of Spiderlegs,You can eat these spiderlegs to walk on walls until your next rest.
04,Cupbearer’s Bezoar,You can swallow this bezoar to become immune to poisons until your next long rest.
05,Mossmantle Potion,You can drink this tea to perfectly blend into natural environments until your next rest.
18,Ciscan Fog Bottle,You can break this jar to fill the area within Close range with magical mist. A creature who enters the mist clears a Stress and becomes Hidden.
06,Lyrebird Lozenge,You can dissolve this lozenge in your mouth to perfectly mimic any voice you’ve heard until the end of the scene.
19,Snapthorn Seed,You can throw this seed at a point you can see. It explodes into a tangle of binding vines that temporarily Restrains all creatures within Close range of that point.
07,Vial of Featherfall,You can drink this potion to ignore damage from falling for the next 10 minutes.
20,Sprite Bottle,"When you mark your last Hit Point, this bottle shatters to release the Sprite inside. The Sprite clears all your Hit Points before fading from the Mortal Realm."
08,Chimeric Saliva,You can apply this saliva to a weapon that deals physical damage to change its damage type to magic until your next rest.
21,Gravity Bomb,You can throw this peach-sized mechanical orb at a point within Far range. It implodes and pulls all creatures and objects within Close range of that point into Melee range with it.
09,Packet of Space Dust,"This dust causes anything it covers to become lighter than air. One packet contains enough dust to cover the contents of a picnic basket, and the effects last for an hour."
22,Gossip Flower,"You can plant this seed in soil. It instantly grows into a small flower that records everything it hears for up to one week. When plucked, the flower recites what it recorded in real time, then withers."
10,Pipeweed,"When you choose the Clear Stress downtime move during a short rest, you can smoke this non-intoxicating leaf to clear an additional Stress. Any other PCs who chose the Clear Stress downtime move also gain this benefit."
23,Displacement Token,You can swallow this token to conjure two illusions of yourself that you can control. Each illusion lasts until it takes damage or until your next rest.
11,Deathseer’s Powder,You can sprinkle this powder over a recently deceased corpse to conjure a spectral reprise of their final minute of life.
24,Night Hag’s Dust,You can blow this dust in an adversary’s face to prevent them from clearing Stress until your next long rest.
12,Slayer’s Salt,You can spread this salt in a line along windowsills or thresholds to create a magical barrier that undead creatures can’t cross until the line is broken.
