Roll,Name,Description
01,Premium Bedroll,"During downtime, you automatically clear a Stress."
02,Piper Whistle,"This handcrafted whistle has a distinctive sound. When you blow this whistle, its piercing tone can be heard within a 1-mile radius."
03,Charging Quiver,"When you succeed on an attack with an arrow stored in this quiver, gain a bonus to the damage roll equal to your current tier."
04,Alistair’s Torch,"You can light this magic torch at will. The flame’s light fills a much larger space than it should, enough to illuminate a cave bright as day."
05,Speaking Orbs,This pair of orbs allows any creatures holding them to communicate with each other across any distance.
06,Manacles,This pair of locking cuffs comes with a key.
07,Arcane Cloak,"A creature with a Spellcast trait wearing this cloak can adjust its color, texture, and size at will."
08,Woven Net,You can make a Finesse Roll using this net to trap a small creature. A trapped target can break free with a successful Attack Roll (16).
09,Fire Jar,You can pour out the strange liquid contents of this jar to instantly produce fire. The contents regenerate when you take a long rest.
10,Suspended Rod,"This flat rod is inscribed with runes. When you activate the rod, it is immediately suspended in place. Until the rod is deactivated, it can’t move, doesn’t abide by the rules of gravity, and remains in place."
11,Glamour Stone,Activate this pebble-sized stone to memorize the appearance of someone you can see. Spend a Hope to magically recreate this guise on yourself as an illusion.
12,Empty Chest,"This magical chest appears empty. When you speak a specific trigger word or action and open the chest, you can see the items stored within it."
13,Companion Case,"This case can fit a small animal companion. While the companion is inside, the animal and case are immune to all damage and harmful effects."
14,Piercing Arrows,"Three times per rest when you succeed on an attack with one of these arrows, you can add your Proficiency to the damage roll."
15,Valorstone,"You can attach this stone to armor that doesn’t already have a feature. The armor gains the following feature. Resilient: Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot."
16,Skeleton Key,"When you use this key to open a locked door, you gain advantage on the Finesse Roll."
17,Arcane Prism,"Position this prism in a location of your choosing and activate it. All allies within Close range of it gain a +1 bonus to their Spellcast Rolls. While activated, the prism can’t be moved. Once the prism is deactivated, it can’t be activated again until your next long rest."
18,Minor Stamina Potion Recipe,"As a downtime move, you can use the bone of a creature to craft a Minor Stamina Potion."
19,Minor Health Potion Recipe,"As a downtime move, you can use a vial of blood to craft a Minor Health Potion."
20,Homing Compasses,These two compasses point toward each other no matter how far apart they are.
21,Corrector Sprite,"This tiny sprite sits in the curve of your ear canal and whispers helpful advice during combat. Once per short rest, you can gain advantage on an attack roll."
22,Gecko Gloves,You can climb up vertical surfaces and across ceilings.
23,Lorekeeper,You can store the name and details of up to three hostile creatures inside this book. You gain a +1 bonus to action rolls against those creatures.
24,Vial of Darksmoke Recipe,"As a downtime move, you can mark a Stress to craft a Vial of Darksmoke."
25,Bloodstone,"You can attach this stone to a weapon that doesn’t already have a feature. The weapon gains the following feature. Brutal: When you roll the maximum value on a damage die, roll an additional damage die."
26,Greatstone,"You can attach this stone to a weapon that doesn’t already have a feature. The weapon gains the following feature. Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
27,Glider,"While falling, you can mark a Stress to deploy this small parachute and glide safely to the ground."
28,Ring of Silence,Spend a Hope to activate this ring. Your footsteps are silent until your next rest.
29,Calming Pendant,"When you would mark your last Stress, roll a d6. On a result of 5 or higher, don’t mark it."
30,Dual Flask,This flask can hold two different liquids. You can swap between them by flipping a small switch on the flask’s side.
31,Bag of Ficklesand,"You can convince this small bag of sand to be much heavier or lighter with a successful Presence Roll (10). Additionally, on a successful Finesse Roll (10), you can blow a bit of sand into a target’s face to make them temporarily Vulnerable."
32,Ring of Resistance,"Once per long rest, you can activate this ring after a successful attack against you to halve the damage."
33,Phoenix Feather,"If you have at least one Phoenix Feather on you when you fall unconscious, you gain a +1 bonus to the roll you make to determine whether you gain a scar."
34,Box of Many Goods,"Once per long rest, you can open this small box and roll a d12. On a result of 1–6, it’s empty. On a result of 7–10, it contains one random common consumable. On a result of 11–12, it contains two random common consumables."
35,Airblade Charm,"You can attach this charm to a weapon with a Melee range. Three times per rest, you can activate the charm and attack a target within Close range."
36,Portal Seed,You can plant this seed in the ground to grow a portal in that spot. The portal is ready to use in 24 hours. You can use this portal to travel to any other location where you planted a portal seed. A portal can be destroyed by dealing any amount of magic damage to it.
37,Paragon’s Chain,"As a downtime move, you can meditate on an ideal or principle you hold dear and focus your will into this chain. Once per long rest, you can spend a Hope to roll a d20 as your Hope Die for rolls that directly align with that principle."
38,Elusive Amulet,"Once per long rest, you can activate this amulet to become Hidden until you move. While Hidden in this way, you remain unseen even if an adversary moves to where they would normally see you."
39,Hopekeeper Locket,"During a long rest, if you have 6 Hope, you can spend a Hope to imbue this locket with your bountiful resolve. When you have 0 Hope, you can use the locket to immediately gain a Hope. The locket must be re-imbued before it can be used this way again."
40,Infinite Bag,"When you store items in this bag, they are kept in a pocket dimension that never runs out of space. You can retrieve an item at any time."
41,Stride Relic,You gain a +1 bonus to your Agility. You can only carry one relic.
42,Bolster Relic,You gain a +1 bonus to your Strength. You can only carry one relic.
43,Control Relic,You gain a +1 bonus to your Finesse. You can only carry one relic.
44,Attune Relic,You gain a +1 bonus to your Instinct. You can only carry one relic.
45,Charm Relic,You gain a +1 bonus to your Presence. You can only carry one relic.
46,Enlighten Relic,You gain a +1 bonus to your Knowledge. You can only carry one relic.
47,Honing Relic,You gain a +1 bonus to an Experience of your choice. You can only carry one relic.
48,Flickerfly Pendant,"While you carry this pendant, your weapons with a Melee range that deal physical damage have a gossamer sheen and can attack targets within Very Close range."
49,Lakestrider Boots,You can walk on the surface of water as if it were soft ground.
50,Clay Companion,"When you sculpt this ball of clay into a clay animal companion, it behaves as that animal. For example, a clay spider can spin clay webs, while a clay bird can fly. The clay companion retains memory and identity across different shapes, but they can adopt new mannerisms with each form."
51,Mythic Dust Recipe,"As a downtime move, you can use a handful of fine gold dust to craft Mythic Dust."
52,Shard of Memory,"Once per long rest, you can spend 2 Hope to recall a domain card from your vault instead of paying its Recall Cost."
53,Gem of Alacrity,"You can attach this gem to a weapon, allowing you to use your Agility when making an attack with that weapon."
54,Gem of Might,"You can attach this gem to a weapon, allowing you to use your Strength when making an attack with that weapon."
55,Gem of Precision,"You can attach this gem to a weapon, allowing you to use your Finesse when making an attack with that weapon."
56,Gem of Insight,"You can attach this gem to a weapon, allowing you to use your Instinct when making an attack with that weapon."
57,Gem of Audacity,"You can attach this gem to a weapon, allowing you to use your Presence when making an attack with that weapon."
58,Gem of Sagacity,"You can attach this gem to a weapon, allowing you to use your Knowledge when making an attack with that weapon."
59,Ring of Unbreakable Resolve,"Once per session, when the GM spends a Fear, you can spend 4 Hope to cancel the effects of that spent Fear."
60,Belt of Unity,"Once per session, you can spend 5 Hope to lead a Tag Team Roll with three PCs instead of two. the items from the Hope & Fear Expansion Set. description"
01,Caltrops,You can spread these caltrops in a Very Close area around you. A creature hastening through that area must mark a Stress.
02,Grapnel,You gain advantage on action rolls to climb sheer surfaces.
03,Ball Bearings,This pouch contains perfectly smooth metal spheres.
04,Box of Dragon Dust,This snuffbox is filled with combustible powder.
05,Nighthawker’s Ring,"Spend a Hope to activate the gemstone in this ring until the end of the scene. While active, the gemstone changes color to indicate the wearer’s proximity to hidden treasure: warm colors for near, cool colors for far."
06,Elven Spyglass,You can use this spyglass to magnify your vision a hundredfold.
07,Gourmet Granules,"This savory powder makes any food it’s sprinkled on delicious and healthy, no matter how bland or rotten it is."
08,Collapsible Pole,You can break down this 18-foot pole into six interlinked 3-foot segments.
09,Blackwing Quill,This writing quill never runs out of ink or needs to be sharpened.
10,Silee’s Folding Knife,This 3-inch blade has an edge that easily cuts through anything except the handle it’s stored in.
11,Windup Toy,This small mechanical device is shaped like a strixwolf pup and can be programmed to perform simple tricks.
12,Loaded Dice,"You can choose what result this set of weighted dice rolls with a successful Finesse Roll (14). If you roll with Fear, anyone watching knows the dice are loaded."
13,Hollowbark Horn,You can blow this horn to summon a small woodland creature to perform a simple task.
14,Self-Tying Rope,You can command this rope to tie or untie itself.
15,Thief’s Compass,This compass points the way toward the nearest exit while indoors and the closest entrance while outdoors.
16,Traveler’s Bell,"Once per long rest, you can ring this bell to magically open the shortest safe path through rough terrain for 1 hour."
17,Mandragorian Torch,This torch gives off light only the bearer can see.
18,Boots of Supple Mystique,"While wearing these boots, you don’t leave tracks or footprints."
19,Zephyr’s Jar,You can open this empty jar during inclement weather to capture the storm and leave behind clear skies. The storm remains inside until unleashed by reopening the jar.
20,Returning Ring,"When you throw your primary weapon while wearing this ring, the weapon appears in your hand immediately after the attack."
21,Kingfisher’s Net,"Once per long rest, you can use this net to scoop one live fish out of any amount of water, no matter how unlikely it is for that water to have fish in it."
22,Titan’s Girdle,"Once per scene, you can activate this girdle to gain a +1 bonus to your Proficiency for your next attack."
23,Iron Veil,This chain-link head covering renders the wearer invisible to fey creatures.
24,Furball Bag,"Once per rest, you can produce 2d20 harmless, cat-sized fur creatures of indeterminate origin and species from this bag."
25,Whisperstep Anklet,This anklet makes your steps silent as long as you don’t move faster than walking speed.
26,Enchanter’s Loupe,You can use this loupe to see through illusions and enchantments.
27,Escher’s Mirrorball,"Once per long rest, you can command this fist-sized silver orb to capture an omnidirectional image of its surroundings on its surface. This image lasts until your next long rest."
28,Cheater’s Coin,"When you flip this coin, you can spend a Hope to determine which side it lands on."
29,Gravewarden’s Bell,This bell rings when a ghost or undead creature moves within Far range of it.
30,Reliquary of the Sightless Saint,You gain a +1 bonus to your Hope Die when you make the Risk It All death move.
31,Map of Revelation,You can attune this map to one creature at a time. The map always shows the attuned creature’s location.
32,Dagginae’s Obsidian Slate,This wafer-thin sheet of volcanic glass is used by archivists to keep notes. Any information etched onto its surface disappears but can be recalled via a command you set.
33,Gadiman’s Backpack,"Once per rest, you can spend a Hope to conjure a mundane item up to a cubic foot in size inside this satchel."
34,Eclipse Coin,"Once per rest, flip a coin. On heads, you gain a +1 bonus to attack rolls until your next successful attack. On tails, you gain +1 to your Evasion until an attack fails against you."
35,Sorcerer’s Hat,"This conical blue hat is covered in silver stars. Once per rest, you can cast a spell from your vault with a Recall Cost equal to or less than your tier. This doesn’t work for permanently vaulted cards."
36,Ghoulskin Gloves,"When you attack with a physical weapon while wearing these gloves, the damage is considered both physical and magic."
37,Gloves of Alacrity,"When you would mark a Stress to reload a weapon, you don’t mark it."
38,Insomniac’s Periapt,"When you take a rest without clearing Hit Points or Stress, you gain a +2 bonus to attack and damage rolls until your next rest."
39,Wildrider’s Saddle,This saddle grants any animal it’s strapped onto the ability to understand their rider’s commands.
40,Soul-Twin Circlets,Two creatures can wear this pair of circlets. You can spend a Hope to switch places with whoever is wearing the other circlet.
41,Namer’s Oracle,"Once per session, you can roll this set of runic dice to reveal the full name of the last person you touched."
42,Crucible Frames,"These eyeglasses reveal weak points in objects and creatures. Three times per rest, you can spend a Hope to gain advantage on an attack roll."
43,Two-Faced Aegis Brooch,"Once per rest, flip a coin. On heads, you become immune to the next physical damage you take. On tails, you become immune to the next magic damage you take."
44,Knockback Bracelets,"On a successful weapon attack, you can knock your target back up to Close range from their location."
45,Force Disc,"This shimmering two-dimensional disc of magical force has a 4-foot diameter and is magically tethered to a pebble. The disc always floats 3 feet north of, and at the same elevation as, the pebble. The pebble has a mass equal to one-hundredth of the total mass carried by the disc."
46,Molepaw Mittens,Spend a Hope to swim through earth as if it were water for the next 10 minutes.
47,Timekeeper’s Pendant,You can choose an additional downtime move each rest.
48,Iron Dagger Pendant,"Once per long rest, you can spend a Hope to tell the pendant a creature’s name. The pendant gently pulls you toward that creature’s current location until your next long rest."
49,Collar of Ascendancy,An animal who wears this collar gains the ability to speak and understand common speech.
50,Temporal Sanctuary,A PC who takes a rest in the temporal sanctuary can choose an additional downtime move.
51,Hero’s Helm,"When you critically succeed on an attack, all allies within Close range gain a Hope."
52,Rings of Friendship,Two creatures can wear this pair of rings shaped like coiled snakes. You can spend the Hope of whoever is wearing the other ring (with their permission) as if it were your own.
53,Rings of Camaraderie,Two creatures can wear this pair of wooden rings. You can mark the Stress of whoever is wearing the other ring (with their permission) as if it were your own.
