Name,Primary or Secondary,Tier,Physical or Magical,Trait,Range,Damage,Burden,Feature 1 Name,Feature 1 Text
Broadsword,Primary,1,Physical,Agility,Melee,d8 phy,One-Handed,Reliable,+1 to attack rolls
Katana,Primary,1,Physical,Agility,Melee,d10+3 phy,Two-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Longsword,Primary,1,Physical,Agility,Melee,d10+3 phy,Two-Handed,,
Battleaxe,Primary,1,Physical,Strength,Melee,d10+3 phy,Two-Handed,,
Brass Knuckles,Primary,1,Physical,Strength,Melee,d8+1 phy,One-Handed,,
Greatsword,Primary,1,Physical,Strength,Melee,d10+3 phy,Two-Handed,Massive,"-1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Mace,Primary,1,Physical,Strength,Melee,d8+1 phy,One-Handed,,
Warhammer,Primary,1,Physical,Strength,Melee,d12+3 phy,Two-Handed,Heavy,-1 to Evasion
Dagger,Primary,1,Physical,Finesse,Melee,d8+1 phy,One-Handed,,
Quarterstaff,Primary,1,Physical,Instinct,Melee,d10+3 phy,Two-Handed,,
Cutlass,Primary,1,Physical,Presence,Melee,d8+1 phy,One-Handed,,
Rapier,Primary,1,Physical,Presence,Melee,d8 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Scimitar,Primary,1,Physical,Presence,Melee,d8+1 phy,One-Handed,,
Twisted Dagger,Primary,1,Physical,Knowledge,Melee,d8 phy,One-Handed,Piercing,Damage dealt with this weapon treats the target’s Major threshold as having a -2 penalty.
Halberd,Primary,1,Physical,Strength,Very Close,d10+2 phy,Two-Handed,Cumbersome,-1 to Finesse
Spear,Primary,1,Physical,Finesse,Very Close,d8+3 phy,Two-Handed,,
Whipsword,Primary,1,Physical,Finesse,Very Close,d8 phy,One-Handed,Versatile,"This weapon can also be used with these statistics—Finesse, Melee, d10."
Rope Dart,Primary,1,Physical,Instinct,Close,d6+1 phy,Two-Handed,,
Shortbow,Primary,1,Physical,Agility,Far,d6+3 phy,Two-Handed,,
Crossbow,Primary,1,Physical,Finesse,Far,d6+1 phy,One-Handed,,
Longbow,Primary,1,Physical,Agility,Very Far,d8+3 phy,Two-Handed,Cumbersome,-1 to Finesse
Arcane Gauntlets,Primary,1,Magical,Strength,Melee,d10+3 mag,Two-Handed,,
Brightsword,Primary,1,Magical,Strength,Melee,d10+3 mag,Two-Handed,,
Hallowed Axe,Primary,1,Magical,Strength,Melee,d8+1 mag,One-Handed,,
Shadowblade,Primary,1,Magical,Presence,Melee,d8 phy/mag,One-Handed,Otherworldly,"On a successful attack, you can deal physical or magic damage."
Glowing Rings,Primary,1,Magical,Agility,Very Close,d10+2 mag,Two-Handed,,
